ms_zoning,lot_area,land_contour,land_slope,neighborhood,condition_1,bldg_type,house_style,year_built,year_remod_add,mas_vnr_type,garage_area,wood_deck_sf,open_porch_sf,kitchen_qual,bedroom_abvgr,sale_type,saleprice,qual_cond,exter_qual_cond,bsmt_qual_cond,fireplaces_weighted,sq_ft,bsmt_weighted_sf,bath
RL,8400,Bnk,Gtl,SWISU,Norm,1Fam,1.5Fin,1925,1950,None,576.0,342,0,3,4,WD ,136500,30,9,9,4,1694,802.0,2.0
RM,6000,Lvl,Gtl,OldTown,Norm,1Fam,1Story,1954,2000,None,281.0,0,0,3,2,WD ,107900,28,9,9,0,901,450.5,1.0
RM,6240,Lvl,Gtl,BrkSide,Norm,1Fam,1.5Fin,1938,1950,None,528.0,225,0,3,3,WD ,126000,30,9,9,4,1409,456.5,1.5
RL,31770,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1960,1960,Stone,528.0,210,62,3,3,WD ,215000,30,9,12,8,1656,859.5,1.0
RL,12474,Lvl,Gtl,NridgHt,Norm,1Fam,2Story,2007,2008,Stone,846.0,196,134,5,3,New,426000,50,15,15,5,2332,1481.0,2.5
RL,9600,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1950,2007,None,264.0,0,80,4,3,WD ,147000,35,12,9,4,1113,860.0,1.0
RL,8574,Lvl,Gtl,Crawfor,Norm,1Fam,1Story,1916,2000,None,440.0,0,0,4,3,WD ,147500,48,12,9,4,1232,408.0,1.0
RL,14418,Lvl,Gtl,NridgHt,Norm,1Fam,1Story,2007,2007,BrkFace,706.0,156,207,5,2,WD ,383000,45,15,15,4,1950,1662.5,2.0
RL,10400,Lvl,Gtl,NWAmes,Norm,1Fam,1Story,1988,1988,BrkFace,604.0,197,39,3,3,WD ,241500,35,9,12,3,1872,1387.0,2.0
RL,15564,Lvl,Gtl,Crawfor,Norm,1Fam,1.5Fin,1914,1995,None,400.0,424,0,3,3,WD ,147500,36,9,12,0,1264,338.0,1.0
RL,13543,HLS,Gtl,StoneBr,Norm,1Fam,2Story,2005,2005,Stone,683.0,192,32,5,5,WD ,355000,40,12,15,4,2500,592.0,3.5
RM,6130,Lvl,Gtl,BrkSide,Norm,1Fam,1.5Unf,1924,1950,None,0.0,0,0,4,2,WD ,109500,30,9,9,0,784,784.0,1.0
RM,5925,Lvl,Gtl,OldTown,Norm,1Fam,1Story,1940,1950,None,308.0,0,0,3,1,WD ,45000,8,12,0,0,612,0.0,1.0
RL,24090,Lvl,Gtl,ClearCr,Norm,1Fam,2Story,1940,1950,None,349.0,56,0,3,4,COD,244400,49,12,9,6,2403,516.0,2.0
RL,9600,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1953,1953,Stone,418.0,110,0,3,3,WD ,167000,30,9,9,8,1644,1350.5,1.0
RL,8158,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,2002,2002,BrkFace,542.0,386,63,4,3,WD ,200000,35,12,12,0,1729,430.0,2.5
RL,5220,Lvl,Gtl,SWISU,Norm,1Fam,1Story,1936,1950,None,180.0,0,108,3,2,WD ,80000,15,9,9,0,879,415.0,1.0
RL,8172,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1955,1990,None,572.0,0,0,3,2,WD ,115000,35,9,9,0,864,515.5,1.0
RL,9000,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1956,1956,BrkFace,297.0,0,44,3,2,WD ,139000,30,9,12,4,1196,906.0,1.0
RL,7844,Lvl,Gtl,Sawyer,Norm,1Fam,2Story,1978,1978,BrkFace,440.0,0,0,3,3,WD ,149500,42,9,9,3,1400,440.5,1.5
RL,9084,Lvl,Gtl,Edwards,Artery,1Fam,2Story,1940,1950,None,296.0,120,0,3,4,WD ,108000,20,9,9,4,1510,377.5,1.0
RL,10800,Lvl,Gtl,OldTown,Norm,2fmCon,2Story,1900,2000,None,0.0,220,114,3,3,WD ,106250,28,9,0,0,1294,0.0,2.0
RL,8556,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2006,2006,None,826.0,140,93,4,2,WD ,194000,35,12,12,0,1240,620.0,2.0
RL,9100,Lvl,Gtl,Sawyer,RRAe,1Fam,1Story,1962,1962,BrkFace,624.0,0,0,3,3,WD ,129500,20,9,9,0,988,512.0,1.0
RL,8668,Lvl,Gtl,NAmes,Norm,Duplex,1Story,1968,1968,None,792.0,0,0,3,4,WD ,126000,25,9,9,0,1560,780.0,2.0
RL,11767,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1950,1950,None,195.0,0,41,3,3,WD ,120000,25,9,6,0,1368,1078.0,1.0
RL,8400,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2004,2005,BrkFace,606.0,0,35,4,3,WD ,213000,35,12,12,0,1484,1092.5,2.0
RL,3874,Lvl,Gtl,Greens,Norm,TwnhsE,1Story,1980,1980,None,484.0,133,78,4,1,WD ,190000,40,12,12,2,1226,1016.5,1.0
RL,8076,Lvl,Gtl,Gilbert,Norm,1Fam,1Story,1993,1994,BrkFace,402.0,0,26,3,3,WD ,183500,36,9,12,3,1169,932.5,2.0
RL,10090,Lvl,Gtl,NAmes,Norm,1Fam,SLvl,1963,1999,BrkFace,276.0,460,46,3,4,WD ,172000,35,9,9,6,1651,242.0,2.0
RL,8877,Lvl,Mod,Edwards,Norm,1Fam,1Story,1938,1958,None,288.0,0,0,3,2,WD ,100000,24,9,9,4,816,753.0,1.0
RL,11058,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2007,2007,Stone,814.0,0,24,4,3,WD ,218836,42,12,12,0,1564,810.0,2.0
RM,10800,Lvl,Gtl,OldTown,Norm,2fmCon,1.5Fin,1905,2000,None,672.0,0,25,3,3,WD ,163000,42,9,6,3,1912,241.0,2.0
RL,10936,Lvl,Gtl,Gilbert,Norm,1Fam,1Story,2006,2006,None,534.0,100,18,4,3,New,206580,35,12,12,4,1525,755.0,2.5
RL,8461,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,2005,2006,None,390.0,0,24,4,3,New,163990,30,12,12,4,1456,364.0,2.5
RM,7518,Lvl,Gtl,IDOTRR,Norm,1Fam,2Story,1910,2004,None,390.0,0,72,3,3,WD ,116500,40,8,4,0,1330,198.0,1.0
RL,8010,Lvl,Gtl,Gilbert,Norm,1Fam,2Story,2002,2003,None,400.0,138,48,4,3,WD ,188000,35,12,12,4,1720,420.0,2.5
RL,10050,Lvl,Gtl,NAmes,Norm,1Fam,SFoyer,1966,1966,BrkFace,432.0,140,40,3,3,WD ,175000,30,9,9,3,1280,697.5,2.0
RL,4740,Lvl,Gtl,StoneBr,Norm,TwnhsE,1Story,1988,1988,None,480.0,0,108,3,2,WD ,182000,40,12,12,0,1179,707.0,2.0
RM,6978,Bnk,Gtl,OldTown,Artery,1Fam,1Story,1926,1980,None,576.0,0,0,3,2,WD ,103000,35,16,9,0,960,425.0,1.0
RL,11400,Lvl,Gtl,NoRidge,Norm,1Fam,1Story,2001,2002,BrkFace,804.0,314,140,5,2,WD ,466500,50,15,15,8,2633,1957.5,2.5
RL,9240,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1959,1998,None,297.0,156,0,4,3,WD ,149500,48,12,9,0,988,848.0,2.0
RL,2304,Lvl,Gtl,NPkVill,Norm,Twnhs,1Story,1978,1978,None,319.0,108,32,3,2,WD ,142500,49,9,12,0,1055,843.5,2.0
RL,7223,Lvl,Gtl,Crawfor,Norm,1Fam,1Story,1926,1950,None,352.0,0,0,3,3,WD ,136500,25,9,9,0,1422,804.5,1.0
RH,3612,Lvl,Gtl,Landmrk,Norm,Twnhs,2Story,1993,1994,None,484.0,0,48,3,3,WD ,137000,30,9,12,0,1320,484.0,2.5
RL,12680,Lvl,Gtl,NWAmes,Norm,1Fam,1Story,1988,1988,BrkFace,528.0,0,48,5,2,WD ,226500,42,12,16,5,1688,1329.0,2.0
RL,10176,Lvl,Gtl,Gilbert,Norm,1Fam,1Story,1990,1990,None,506.0,192,0,4,2,WD ,171500,35,9,12,1,1341,968.5,1.5
RL,10780,Lvl,Gtl,CollgCr,Norm,1Fam,SLvl,1976,1976,None,576.0,0,0,3,3,WD ,132500,25,9,9,0,954,697.0,1.0
RL,8544,Lvl,Gtl,NAmes,Norm,Duplex,1Story,1949,1950,BrkFace,400.0,0,0,3,2,WD ,87500,12,9,0,0,1040,0.0,2.0
FV,10646,Lvl,Gtl,Somerst,Norm,1Fam,2Story,2001,2001,BrkFace,546.0,0,0,3,3,WD ,223000,35,9,9,3,1789,769.5,2.5
RL,8400,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1962,2005,BrkFace,462.0,0,36,4,3,COD,174000,54,16,9,4,1537,659.5,1.5
RL,15428,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1951,1991,None,270.0,0,0,3,2,WD ,142000,30,9,9,0,884,812.5,1.0
FV,11216,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2006,2006,None,776.0,0,140,4,3,New,232600,40,12,16,4,1489,744.5,2.0
RL,10140,Lvl,Gtl,NWAmes,Norm,1Fam,1Story,1974,1999,BrkFace,484.0,265,0,4,3,WD ,181000,36,9,9,2,1309,663.0,1.5
RM,3964,Lvl,Gtl,MeadowV,Norm,TwnhsE,2Story,1973,1973,None,576.0,728,20,3,5,WD ,151400,24,9,12,4,2521,889.5,2.5
RL,11428,Lvl,Gtl,NridgHt,Norm,1Fam,1Story,2006,2006,Stone,866.0,0,44,4,3,WD ,250000,40,12,12,4,1634,813.0,2.0
RL,10421,Lvl,Gtl,NWAmes,Norm,1Fam,2Story,1988,1988,BrkFace,496.0,228,66,3,3,WD ,196500,35,9,12,3,1714,687.0,2.5
RM,13500,Lvl,Gtl,OldTown,Norm,1Fam,2.5Unf,1879,1987,None,576.0,0,148,3,3,WD ,185000,56,12,9,4,2454,409.5,2.0
RL,9000,Lvl,Gtl,NWAmes,Feedr,1Fam,1Story,1969,1969,BrkFace,336.0,0,0,3,3,WD ,113000,30,9,9,0,1216,1085.5,1.0
RL,8089,HLS,Gtl,StoneBr,Norm,1Fam,1Story,2007,2007,BrkFace,567.0,140,0,4,2,New,392000,48,12,12,4,1419,1182.0,2.0
RL,9400,Lvl,Gtl,Edwards,Norm,Duplex,SFoyer,1975,1975,BrkFace,0.0,0,0,3,4,WD ,127500,30,9,16,0,980,945.0,2.0
FV,2117,Lvl,Gtl,Somerst,Norm,Twnhs,2Story,2000,2000,BrkFace,440.0,0,32,4,3,WD ,177000,30,12,12,0,1573,586.5,2.5
FV,10625,Lvl,Gtl,Somerst,Norm,1Fam,2Story,2004,2004,BrkFace,744.0,193,127,4,4,WD ,265000,30,12,12,4,2443,579.0,2.5
FV,8413,Lvl,Gtl,Somerst,Norm,1Fam,2Story,1998,1998,None,1105.0,147,0,4,3,WD ,312500,40,16,15,6,2362,1060.5,2.5
RM,13500,Lvl,Gtl,OldTown,Artery,1Fam,2.5Unf,1893,2000,None,880.0,105,502,4,3,WD ,325000,90,25,9,4,2775,618.5,3.5
RL,15676,Low,Gtl,Veenker,Norm,1Fam,1Story,1980,1980,BrkFace,864.0,462,0,4,2,WD ,275000,64,16,16,8,2014,1827.5,2.0
RL,9950,Lvl,Gtl,NoRidge,Norm,1Fam,2Story,1995,1995,BrkFace,721.0,224,114,4,4,WD ,290000,35,12,12,3,2520,884.0,2.5
RL,15410,Lvl,Gtl,Sawyer,RRNe,1Fam,1Story,1974,2002,BrkCmn,461.0,296,0,3,3,WD ,169000,36,12,9,4,1494,237.5,2.0
RM,6000,Lvl,Gtl,BrkSide,Norm,1Fam,1Story,1921,1950,None,205.0,0,0,3,2,WD ,89000,35,9,9,0,616,616.0,1.0
RL,8402,Lvl,Gtl,Gilbert,Norm,1Fam,2Story,1998,1998,None,393.0,0,75,3,3,WD ,180400,30,9,12,4,1465,394.5,2.5
RL,10655,Lvl,Gtl,NridgHt,Norm,1Fam,1Story,2003,2004,BrkFace,880.0,0,0,4,3,WD ,284000,40,12,12,4,1629,1925.5,2.0
RL,10150,Lvl,Gtl,NAmes,Feedr,1Fam,1Story,1958,1958,None,275.0,0,0,3,2,COD,114500,25,9,9,0,912,684.0,1.0
RL,10084,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2005,2006,BrkFace,782.0,144,20,4,3,New,212900,35,12,12,0,1552,788.0,2.0
RL,16285,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2001,2002,None,605.0,0,33,4,3,WD ,187100,35,12,12,0,1430,706.5,2.0
FV,3230,Lvl,Gtl,Somerst,Norm,TwnhsE,2Story,1999,1999,BrkFace,440.0,0,32,3,2,WD ,176000,30,9,12,2,1458,574.0,2.5
RL,21579,Lvl,Gtl,Crawfor,Norm,1Fam,1Story,1968,1968,None,552.0,0,0,3,3,CWD,215000,36,9,12,8,1488,1150.5,2.0
RL,8320,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,2004,2004,None,520.0,0,45,4,3,WD ,185900,35,12,12,0,1582,630.0,2.5
RL,6960,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1970,1970,None,660.0,96,0,4,3,WD ,120500,24,9,9,0,864,500.0,1.0
RL,21930,Lvl,Gtl,Gilbert,RRAn,1Fam,2Story,2005,2005,None,372.0,100,40,3,4,WD ,192140,25,12,16,4,1838,366.0,2.5
RL,6600,Lvl,Gtl,Mitchel,Norm,1Fam,1Story,1982,2008,None,264.0,0,0,4,3,WD ,130500,45,16,9,5,816,728.5,1.0
RL,8405,Lvl,Gtl,Edwards,Norm,1Fam,1.5Fin,1945,1950,None,240.0,92,0,3,4,WD ,98000,12,9,0,0,1529,0.0,2.0
RL,11778,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2008,2008,Stone,1348.0,0,0,5,3,WD ,475000,45,12,12,8,2276,2178.0,2.0
RM,8967,Lvl,Gtl,IDOTRR,Norm,1Fam,1Story,1920,1950,None,338.0,0,0,3,2,WD ,67000,10,6,2,0,1077,480.5,1.0
RL,10562,Lvl,Gtl,NridgHt,Norm,1Fam,2Story,2007,2007,Stone,789.0,178,120,5,3,New,325624,40,12,15,4,2161,1435.0,1.5
RL,12864,Lvl,Gtl,Mitchel,Norm,1Fam,1Story,2002,2002,None,576.0,0,144,4,1,WD ,245000,35,12,12,4,1409,1400.5,1.5
RL,13695,Lvl,Gtl,SawyerW,RRAe,1Fam,1Story,2004,2004,None,576.0,0,102,4,3,WD ,159000,25,9,9,0,1114,880.0,1.5
RL,10289,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1965,1965,BrkFace,515.0,0,0,3,3,WD ,156000,35,9,9,0,1073,954.5,1.5
RL,15431,Lvl,Gtl,NridgHt,Norm,1Fam,1Story,2008,2008,Stone,672.0,0,72,5,2,WD ,555000,50,15,15,8,2402,2161.0,2.0
RL,11120,Lvl,Gtl,Veenker,Norm,1Fam,1Story,1984,1984,None,516.0,0,0,3,3,WD ,162500,36,9,12,0,1232,946.0,2.0
RL,9069,Lvl,Gtl,SawyerW,Norm,Duplex,SFoyer,1993,1993,None,920.0,288,0,4,2,WD ,224500,48,16,12,0,1440,261.0,2.0
RL,47280,Lvl,Gtl,Gilbert,Norm,1Fam,1Story,1950,1950,BrkFace,738.0,0,0,3,3,WD ,133000,30,9,9,3,1488,744.0,2.5
RL,7875,Lvl,Gtl,Gilbert,Norm,1Fam,2Story,2003,2003,None,393.0,0,75,4,3,WD ,180000,35,12,12,4,1509,391.5,2.5
RL,6600,Lvl,Gtl,Mitchel,Norm,1Fam,1Story,1982,2005,None,264.0,0,0,4,3,WD ,134500,30,9,9,0,845,741.5,1.0
RL,13682,HLS,Gtl,StoneBr,Norm,1Fam,2Story,2006,2006,BrkFace,641.0,192,0,4,3,New,438780,50,15,15,4,2945,705.0,3.5
RL,9150,Lvl,Gtl,NAmes,Norm,1Fam,SLvl,1962,1962,BrkFace,296.0,64,110,3,3,WD ,165000,30,9,12,4,1431,735.0,1.0
RL,7150,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1967,1967,BrkFace,288.0,0,0,3,3,WD ,100000,25,9,9,0,892,662.0,1.0
RL,12285,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1960,1960,BrkFace,441.0,0,0,3,3,WD ,176000,42,9,9,8,1329,936.5,1.5
RL,17920,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1955,1974,None,454.0,0,418,3,3,WD ,170000,20,9,9,4,1779,492.0,1.5
RL,3684,Lvl,Gtl,Blmngtn,Norm,TwnhsE,1Story,2007,2007,BrkFace,660.0,143,20,4,2,WD ,174000,35,12,12,3,1555,686.5,2.0
RM,7006,Lvl,Gtl,IDOTRR,Norm,1Fam,1.5Fin,1925,1950,None,384.0,0,0,3,3,WD ,127000,36,9,9,4,1236,444.5,2.0
RL,8390,Lvl,Gtl,Gilbert,Norm,1Fam,2Story,1999,1999,None,450.0,0,103,3,3,WD ,185900,35,9,12,3,1651,415.5,2.5
RM,5784,Lvl,Gtl,OldTown,Artery,1Fam,1Story,1938,1996,None,273.0,144,20,3,2,WD ,91300,40,9,6,0,886,95.0,1.0
RL,9135,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2003,2003,BrkFace,544.0,192,23,4,3,WD ,200000,30,12,12,0,1700,1011.0,2.0
RL,10496,Lvl,Gtl,NAmes,Artery,1Fam,1.5Fin,1949,1950,BrkFace,315.0,0,0,3,3,WD ,143000,36,9,9,4,1846,618.0,2.0
RL,13650,Lvl,Gtl,Sawyer,Norm,1Fam,1.5Fin,1958,1958,None,451.0,0,0,4,4,WD ,172500,25,16,9,4,1920,334.0,2.0
RL,8308,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1963,1963,Stone,520.0,0,0,3,2,COD,110000,24,12,9,0,1088,189.5,1.0
RL,9450,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1957,1957,BrkFace,768.0,0,0,3,3,WD ,140000,20,9,9,4,1362,907.5,1.0
RL,9317,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2006,2006,None,440.0,0,22,4,3,WD ,176432,30,12,12,4,1314,669.0,2.0
RL,7153,Lvl,Gtl,SawyerW,Norm,1Fam,1Story,1991,1991,BrkFace,496.0,112,51,4,3,WD ,179200,30,9,12,0,1294,1239.0,2.0
RL,8814,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2005,2007,BrkFace,508.0,264,98,4,3,New,203000,35,12,12,0,1274,1099.5,2.0
RL,9849,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2007,2007,Stone,954.0,0,56,4,3,New,248328,42,12,12,0,1689,844.5,2.0
RL,14463,HLS,Gtl,Timber,Norm,1Fam,1Story,2008,2008,BrkFace,885.0,0,95,5,3,WD ,316500,45,15,15,0,1641,1378.0,2.0
RL,5190,Lvl,Gtl,Edwards,Norm,1Fam,1.5Fin,1948,1950,None,249.0,135,0,3,2,WD ,125600,35,9,9,4,1079,285.0,1.0
RM,9750,Lvl,Gtl,OldTown,Norm,1Fam,1Story,1959,1959,BrkFace,308.0,0,0,2,2,WD ,110000,30,9,9,0,984,592.0,1.0
RM,6000,Lvl,Gtl,OldTown,Norm,1Fam,1Story,1920,1950,None,308.0,0,0,2,2,WD ,108500,16,9,9,0,960,605.0,1.0
C (all),8712,Bnk,Mod,IDOTRR,Norm,1Fam,1Story,1952,1952,None,504.0,0,0,2,2,WD ,55993,25,6,9,0,1044,270.0,1.0
RM,11851,Lvl,Gtl,OldTown,Artery,1Fam,1.5Fin,1948,2009,None,240.0,0,100,4,3,WD ,129000,35,12,9,4,1633,903.5,1.0
RL,13811,Lvl,Gtl,Timber,Norm,1Fam,1Story,1987,1987,BrkFace,551.0,125,0,4,2,WD ,176000,36,9,16,3,1137,1026.0,2.0
RL,10143,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1963,1963,BrkFace,364.0,0,0,3,3,WD ,154000,42,9,9,0,1380,882.0,1.5
RL,18265,Lvl,Gtl,Timber,Norm,1Fam,1Story,1986,1986,BrkFace,578.0,282,0,4,3,WD ,180000,30,16,16,2,1256,1058.0,2.0
RM,4224,Lvl,Gtl,MeadowV,Norm,TwnhsE,1Story,1976,1976,None,528.0,536,90,3,3,WD ,134000,25,9,12,1,1142,1008.0,1.5
RL,12615,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1950,2001,None,576.0,0,29,4,4,WD ,243000,42,9,12,4,2158,839.5,2.0
RL,14536,Lvl,Gtl,Timber,Norm,1Fam,1Story,2002,2003,BrkFace,808.0,0,252,4,3,WD ,270000,40,12,12,4,1629,1458.0,2.0
RL,9187,Bnk,Gtl,Mitchel,Norm,1Fam,1Story,1983,1983,None,484.0,120,0,3,3,WD ,134000,30,12,9,0,1080,710.0,1.5
RL,9900,Low,Mod,NoRidge,Norm,1Fam,2Story,1993,1993,BrkFace,656.0,340,60,4,4,WD ,260000,35,12,12,3,2646,1167.0,2.5
RL,8333,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,2006,2006,None,484.0,100,30,4,3,WD ,168675,35,12,12,4,1491,369.0,2.5
RL,10147,Lvl,Gtl,Gilbert,Norm,1Fam,SLvl,1994,1994,BrkFace,398.0,256,64,3,3,WD ,160000,30,9,12,3,1694,289.0,2.5
RM,5914,Lvl,Gtl,OldTown,Norm,1Fam,1.5Fin,1890,1996,None,0.0,0,165,4,3,WD ,95000,45,9,6,0,1080,342.0,1.0
RL,11646,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,2005,2006,None,440.0,36,28,4,3,WD ,173000,30,12,12,4,1422,352.0,2.5
FV,7200,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2006,2006,None,572.0,216,121,4,2,New,187750,35,12,16,4,1301,646.5,2.0
RL,20544,Lvl,Gtl,NWAmes,Norm,1Fam,2Story,1986,1991,BrkFace,542.0,364,63,3,3,WD ,215000,42,12,12,3,2093,395.5,2.5
RL,9981,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1967,1967,BrkFace,270.0,0,90,3,3,WD ,120000,25,9,9,0,1073,647.0,1.0
RL,8251,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2005,2006,BrkFace,672.0,192,35,4,3,WD ,249000,35,12,16,4,1506,1136.0,2.0
RL,10140,Lvl,Gtl,NWAmes,RRAn,1Fam,1Story,1967,1967,BrkFace,477.0,0,20,3,3,WD ,164500,42,9,9,0,1334,909.5,2.0
RM,8239,Lvl,Gtl,GrnHill,Norm,TwnhsE,1Story,1986,1986,None,312.0,0,0,4,2,WD ,230000,35,12,0,0,1295,0.0,2.0
RM,5700,Lvl,Gtl,OldTown,Feedr,1Fam,2Story,1929,1990,None,456.0,0,0,4,3,WD ,140000,42,9,9,4,1344,504.0,1.5
RL,7200,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1952,1952,None,240.0,0,68,3,2,WD ,118900,35,12,12,0,732,630.0,1.0
RL,9178,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2008,2008,None,904.0,192,142,4,3,WD ,239900,40,12,12,4,1468,734.0,2.0
RL,4043,Lvl,Gtl,NPkVill,Norm,TwnhsE,1Story,1975,1975,None,440.0,0,55,3,2,WD ,146300,30,9,12,1,1069,820.0,2.0
RM,4224,Lvl,Gtl,MeadowV,Norm,TwnhsE,1Story,1975,1975,None,499.0,0,100,3,3,WD ,124000,30,9,12,0,1040,904.5,1.0
RL,11235,Lvl,Gtl,Sawyer,Norm,2fmCon,SFoyer,1963,1963,None,308.0,40,176,3,3,WD ,130000,25,9,12,0,999,925.0,1.0
RL,8450,Lvl,Gtl,SawyerW,Norm,1Fam,1Story,2000,2001,BrkFace,539.0,120,55,3,3,WD ,179000,35,9,12,0,1349,674.5,2.0
RL,11851,Lvl,Gtl,Gilbert,Norm,1Fam,1Story,1990,1990,None,500.0,0,34,3,3,WD ,180500,35,9,12,0,1442,712.0,2.0
RM,4608,Lvl,Gtl,OldTown,Artery,1Fam,1Story,1945,1950,None,220.0,0,0,3,2,WD ,80000,24,12,9,0,747,373.5,1.0
RL,9262,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2008,2009,Stone,840.0,0,36,5,3,New,287090,40,12,12,4,1578,786.5,2.0
RM,12702,Lvl,Gtl,OldTown,Norm,1Fam,1Story,1956,1956,None,308.0,0,45,3,2,WD ,97000,25,9,0,0,882,0.0,1.0
RL,2938,Lvl,Gtl,Blmngtn,Norm,TwnhsE,1Story,2002,2002,BrkFace,398.0,130,30,4,2,WD ,246990,35,12,12,3,1511,1203.0,2.0
RL,18160,Lvl,Gtl,Gilbert,Norm,1Fam,1Story,1964,1964,BrkCmn,480.0,0,108,3,3,WD ,154204,36,9,9,3,1128,926.0,1.0
RL,11355,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1958,2001,BrkFace,495.0,0,304,3,3,WD ,186000,49,9,9,4,1312,974.5,1.5
RM,1680,Lvl,Gtl,BrDale,Norm,Twnhs,2Story,1972,1972,BrkFace,264.0,0,0,3,3,WD ,111750,25,9,9,0,1302,490.0,2.5
RL,14300,HLS,Mod,NridgHt,Norm,1Fam,1Story,2003,2004,BrkFace,958.0,220,150,5,3,WD ,500000,45,15,15,8,2696,2109.5,2.5
RL,10616,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,2007,2007,None,484.0,100,24,4,3,New,177439,35,12,12,4,1356,314.0,2.5
RL,11308,Lvl,Gtl,NridgHt,Norm,1Fam,2Story,2008,2008,Stone,836.0,0,102,5,3,WD ,335000,45,15,15,4,2184,1020.0,2.5
RL,10480,Lvl,Gtl,NWAmes,Norm,1Fam,2Story,1976,1976,BrkFace,483.0,0,69,3,4,WD ,205000,42,9,9,4,1964,603.0,2.5
RL,5118,HLS,Gtl,StoneBr,Norm,TwnhsE,1Story,1990,1990,None,484.0,0,64,4,1,WD ,212000,40,12,12,3,1321,1119.0,1.0
RM,3811,HLS,Mod,Crawfor,Artery,TwnhsE,1Story,2004,2005,Stone,525.0,128,53,4,2,WD ,246000,40,12,15,4,1646,1483.5,2.0
RL,10825,Lvl,Gtl,NWAmes,Norm,1Fam,1Story,1983,1983,BrkFace,598.0,152,0,3,3,WD ,181900,49,12,12,0,1260,1003.5,2.0
RM,5500,Lvl,Gtl,OldTown,Norm,1Fam,1.5Fin,1929,2001,None,484.0,0,0,3,3,WD ,130000,35,9,9,0,926,234.0,1.0
RM,9600,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1910,2002,None,360.0,270,0,3,2,WD ,132000,35,12,4,0,1432,132.0,2.0
RL,9317,Lvl,Gtl,SawyerW,Norm,1Fam,2Story,1994,2001,None,499.0,202,93,4,3,CWD,220000,35,16,16,3,1958,638.0,2.5
RL,11838,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2001,2001,None,522.0,202,151,5,3,WD ,236500,40,12,12,3,1788,876.5,2.0
FV,8004,Lvl,Gtl,Somerst,RRAn,1Fam,2Story,2009,2009,Stone,552.0,0,150,3,3,New,263435,40,12,12,0,1935,688.0,2.5
RM,6876,Bnk,Gtl,IDOTRR,Norm,1Fam,1.5Fin,1938,1958,None,400.0,0,34,3,4,COD,141000,36,9,9,4,1272,636.0,2.0
RL,8396,Lvl,Gtl,Gilbert,Norm,1Fam,2Story,2003,2003,BrkFace,434.0,120,48,4,4,WD ,213000,35,12,12,4,1986,423.5,2.5
RL,9803,Lvl,Gtl,Timber,Norm,1Fam,1Story,2009,2010,None,520.0,0,25,4,2,New,179781,35,12,12,0,1214,607.0,2.0
RL,6240,Lvl,Gtl,NridgHt,Norm,TwnhsE,1Story,2006,2007,BrkFace,550.0,0,35,4,2,WD ,234250,40,12,12,4,1342,1094.0,2.0
RL,15498,Lvl,Gtl,Timber,Norm,1Fam,1Story,1976,1976,None,665.0,0,72,4,2,COD,287000,48,12,12,4,2898,1165.0,2.0
